,Title,Smiles
99,AT-225/NB48410,ClC1=CC(C2=N/C3=CC=CC=C3/C(N3CCOCC3)=C\2)=C(N2CCOCC2)C=C1
100,AT-225/JK13034,OC1=CC2=C(C=C1)C1=C(/C=C\2)C2=C(/C=N\N2)CC1
101,AT-687/PE16777,O=C(NCC1=C(F)C=C(F)C=C1)C1CCCN(C2=C3OC4=C(C=CC=C4)C3=NC=N2)C1
102,AT-225/NB52971,CCC1CCCCN1CC1=C(O)C=CC2=C1OC(=O)C(/C1=N/C3=C(C=CC=C3)N1)=C\2
103,AT-687/PE25945,O=C1NC(N2CCCC(C(=O)NCC3=C(F)C=C(F)C=C3)C2)=NC2=C1SC=C2C1=CC=CC=C1
104,AT-687/NB06794,O=S(=O)(C1=CC=CC(F)=C1)C1=C(\N2CCCCC2CCN2CCOCC2)C2=CC=CC(F)=C2/N=C\1
105,AT-687/PE25985,CC1=CC=C(C2=CSC3=C2N=C(N2CCCC(C(=O)NCC4=C(F)C=C(F)C=C4)C2)NC3=O)C=C1
106,AT-687/NB06793,O=S(=O)(C1=CC=C(F)C=C1)C1=C(\N2CCCCC2CCN2CCOCC2)C2=CC=CC(F)=C2/N=C\1
107,AN-153/NB20268,CC1=CC(O)=C(C2=CC=NC3=C2C(=O)N/C(N2CCC4=C(C=CC=C4)C2)=N\3)C(=O)O1
108,AT-687/PE25983,CC1=CC=C(C2=CSC3=C2N=C(N2CCCC(C(=O)NCC4=C(F)C=CC=C4)C2)NC3=O)C=C1
109,AT-687/PE16774,COC1=CC(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)=C(OC)C=C1
110,AT-225/NB53225,CC1CCCCN1CC1=C(O)C=CC2=C1OC(=O)C(/C1=N/C3=C(C=CC=C3)N1)=C\2
111,AT-687/PE10280,CCOC(=O)C1CCCN(/C2=N/C3=C(C4=CC(F)=CC=C4)N=NN3C3=CC=C(Cl)C=C32)C1
112,AT-687/PE16778,O=C(NCC1=C(Cl)C=C(F)C=C1)C1CCCN(C2=C3OC4=C(C=CC=C4)C3=NC=N2)C1
113,AT-687/PE16779,O=C(NCC1=CC(Cl)=C(F)C=C1)C1CCCN(C2=C3OC4=C(C=CC=C4)C3=NC=N2)C1
114,AT-687/PE16754,COC1=CC=C(NC(=O)C2CCCN(C3=NC=NC4=C3OC3=C4C=CC=C3)C2)C=C1OC
115,AT-687/PE25849,CCOC1=C(OCC)C=C(C2=CSC3=C2N=C(N2CCC4=C(C=CC=C4)C2)NC3=O)C=C1
116,AT-687/PE16755,CCOC1=CC=C(NC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
117,AN-153/I262611,COC1=CC2=C(C=C1)NC=C2CCNC(=O)C1CCCN(/C2=C(\C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)NC2=O)C1
118,AT-358/NJ01084,CC/C1=C2\CN3C(=O)C4=C(C=C3\C2=N\C2=CC=C(O)C=C21)[C@@](O)(CC)C(=O)OC4
119,AT-687/PE16772,CCOC1=CC=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
120,AT-687/PE25950,O=C1NC(N2CCCC(C(=O)NCC3=C(Cl)C=C(F)C=C3)C2)=NC2=C1SC=C2C1=CC=CC=C1
121,AT-687/PE16773,CCCOC1=CC=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
122,AN-153/I261776,O=C1NC2=C(C=C(Cl)C=C2)/C(C2=CC=CC=C2)=C\1N1CCCC(C(=O)NCCC2=CNC3=C2C=CC=C3)C1
123,AT-687/PE25951,O=C1NC(N2CCCC(C(=O)NCC3=CC(Cl)=C(F)C=C3)C2)=NC2=C1SC=C2C1=CC=CC=C1
124,AT-687/PE16771,CCOC1=CC=CC(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)=C1
125,AT-687/PE16776,O=C(NCC1=CC=C(F)C=C1)C1CCCN(C2=C3OC4=C(C=CC=C4)C3=NC=N2)C1
126,AT-687/PE16753,COC1=CC=C(NC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
127,AT-687/PE25847,COC1=CC=CC(C2=CSC3=C2N=C(N2CCC4=C(C=CC=C4)C2)NC3=O)=C1
128,AT-687/NB06803,O=S(=O)(C1=CC(F)=CC(F)=C1)C1=C(\N2CCCCC2CCN2CCOCC2)C2=CC(F)=CC=C2/N=C\1
129,AT-687/PE16751,CC1=C(C)C=C(NC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
130,AT-687/NB06820,O=S(=O)(C1=CC(Cl)=CC(Cl)=C1)C1=C(\N2CCCC2CO)C2=CC=C(F)C=C2/N=C\1
131,AT-687/PE16770,CCOC1=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=CC=C1
132,AN-153/I261764,COC1=C(CNC(=O)C2CCCN(/C3=C(\C4=CC=CC=C4)C4=C(C=CC(Cl)=C4)NC3=O)C2)C=CC=C1
133,AT-687/PE12739,CCOC(=O)C1CCCN(C2=NC3=C(C=N2)C(=O)N(CC2=C(F)C=CC=C2)C(=O)N3)C1
134,AT-687/PE26008,COC1=C(OC)C=C(C2=CSC3=C2N=C(N2CCCC(C(=O)NCC4=CC=CO4)C2)NC3=O)C=C1
135,AT-687/PE16767,CCC1=CC=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
136,AT-687/PE25829,CC1=CC=CC(C2=CSC3=C2N=C(N2CCC4=C(C=CC=C4)C2)NC3=O)=C1
137,AT-687/PE16768,COC1=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=CC=C1
138,AT-687/PE25965,O=C1NC(N2CCCC(C(=O)NCCC3=CNC4=CC=CC=C34)C2)=NC2=C1SC=C2C1=CC=CC=C1
139,AT-687/PE25941,CCOC1=C(CNC(=O)C2CCCN(C3=NC4=C(SC=C4C4=CC=CC=C4)C(=O)N3)C2)C=CC=C1
140,AT-687/SK17428,CCC1=CC=C(C2=NNC3=C2/C=N\C2=CC=C(C)C=C23)C=C1
141,AT-687/PE25866,O=C1NC(N2CCC3=C(C=CC=C3)C2)=NC2=C1SC=C2C1=CC=C(F)C=C1
142,AT-687/PE26007,COC1=CC=CC(C2=CSC3=C2N=C(N2CCCC(C(=O)NCC4=CC=CC=C4)C2)NC3=O)=C1
143,AT-225/NB47209,COC1=CC2=C(C=C1)C1=NC3=CC=CC=C3C(N3CCOCC3)=C1CC2
144,AT-225/NB48356,COC1=CC2=C(C=C1)C1=NC3=CC=CC=C3C(N3CCOCC3)=C1CC2
145,AT-225/JK06946,COC1=CC2=C(C=C1)C1=C(CC2)C(N2CCOCC2)=C2C=CC=CC2=N1
146,AN-153/NB21479,O=C1N/C(N2CCC3=C(C=CC=C3)C2)=N\C2=C1C(C1=CC=NC=C1)=CC=N2
147,AT-687/PE16752,CC(C)C1=CC=C(NC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
148,AT-687/PE25986,CC1=CC=C(C2=CSC3=C2N=C(N2CCCC(C(=O)NCC4=CC(F)=CC(F)=C4)C2)NC3=O)C=C1
149,AT-687/PE25939,COC1=C(CNC(=O)C2CCCN(C3=NC4=C(SC=C4C4=CC=CC=C4)C(=O)N3)C2)C=CC=C1
150,AT-687/PE25995,CC1=CC=C(C2=CSC3=C2N=C(N2CCCC(C(=O)NCC4=C(C)C=CC=C4)C2)NC3=O)C=C1
151,AT-687/PE25942,CCOC1=CC=CC(CNC(=O)C2CCCN(C3=NC4=C(SC=C4C4=CC=CC=C4)C(=O)N3)C2)=C1
152,AN-153/I208778,CCOC(=O)C1CCCN(/C2=C(\C3=CC=CC=C3)C3=CC(Cl)=CC=C3NC2=O)C1
153,AT-687/PE16769,COC1=CC=CC(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)=C1
154,AT-819/OC12801,CC(C)(C)OC1=CC2=C(C=C1)NC(=O)N=C2C1=CC=CC=C1F
155,AT-687/PE16749,CC1=CC=CC(NC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)=C1
156,AT-687/NB04359,CCOC1=C2OC(=O)C(C3=NC4=C(C(=O)N3)C3=C(CCCC3)S4)=CC2=CC=C1
157,AT-687/NB06802,O=S(=O)(C1=CC=C(F)C(F)=C1)C1=C(\N2CCCCC2CCN2CCOCC2)C2=CC(F)=CC=C2/N=C\1
158,AT-687/PE13102,O=S(=O)(C1=CC(F)=CC(F)=C1)C1=C(\C2=CC=C(F)C=C2)C2=C(\N=C/1)C(F)=CC=C2
159,AT-687/PE16750,CC1=CC=C(NC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
160,AT-225/NB36287,COC1=CC2=C(C=C1)C1=C(CC2)/C(N(C(C)C)C(C)C)=C2/C=CC=C/C2=N/1
161,AT-225/NB35457,COC1=CC2=C(C=C1)C1=C(CC2)/C(N(C(C)C)C(C)C)=C2/C=CC=C/C2=N/1
162,AT-225/NB47210,COC1=CC2=C(C=C1)C1=N/C3=CC=CC=C3/C(N(C(C)C)C(C)C)=C\1CC2
163,AT-225/NB48358,COC1=CC2=C(C=C1)C1=N/C3=CC=CC=C3/C(N(C(C)C)C(C)C)=C\1CC2
164,AQ-358/J254344,O=C1OC2=C(C=C(Cl)C=C2)C(C2=C\N=C3\C4=CC(Cl)=CC=C4OC\C3=C\2)=C1C1=CC=CC=C1
165,AN-153/I261743,CCOC1=CC=C(NC(=O)C2CCCN(/C3=C(\C4=CC=CC=C4)C4=C(C=CC(Cl)=C4)NC3=O)C2)C=C1
166,AT-225/NB53220,O=C1OC2=C(C=CC(OCC3=C(F)C=CC=C3Cl)=C2)C=C1/C1=N/C2=C(C=CC=C2)S1
167,AN-153/MD17196,O=C1NC2=C(C=C(Cl)C=C2)/C(C2=CC=CC=C2)=C\1N1CCCC(C(=O)NC2=CC=C(F)C=C2)C1
168,AT-687/PE25946,O=C1NC(N2CCCC(C(=O)NCC3=CC(F)=CC(F)=C3)C2)=NC2=C1SC=C2C1=CC=CC=C1
169,AT-687/PE25943,CCOC1=CC=C(CNC(=O)C2CCCN(C3=NC4=C(SC=C4C4=CC=CC=C4)C(=O)N3)C2)C=C1
170,AT-687/SK17479,CC1=CC=C(C2=NNC3=C2/C=N\C2=C\C4=C(/C=C32)OCCO4)C=C1C
171,AN-153/I262635,O=C1NC2=C(C=C(Cl)C=C2)/C(C2=CC=CC=C2)=C\1N1CCCC(C(=O)N2CCC3=C(C=CC=C3)C2)C1
172,AT-687/PE25959,CC1=C(CNC(=O)C2CCCN(C3=NC4=C(SC=C4C4=CC=CC=C4)C(=O)N3)C2)C=CC=C1
173,AT-687/PE16775,CSC1=CC=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
174,AT-687/PE16766,CC1=CC=C(CNC(=O)C2CCCN(C3=C4OC5=C(C=CC=C5)C4=NC=N3)C2)C=C1
175,AT-687/PE25881,O=C1NC(N2CCC3=C(C=CC=C3)C2)=NC2=C1SC=C2C1=CC(Cl)=CC=C1
176,AT-225/NB48355,COC1=CC2=C(C=C1)C1=NC3=CC=CC=C3C(N3CCN(C)CC3)=C1CC2
177,AT-225/JK06945,COC1=CC2=C(C=C1)C1=C(CC2)C(N2CCN(C)CC2)=C2C=CC=CC2=N1
178,AT-687/PE25811,O=S(=O)(C1=CC=C(F)C=C1)C1=C(\C2=CC(F)=CC=C2)C2=CC(Cl)=CC(F)=C2/N=C\1
179,AN-153/I262613,O=C1NC2=C(C=C(Cl)C=C2)/C(C2=CC=CC=C2)=C\1N1CCCC(C(=O)N2CCOCC2)C1
180,AT-225/NB32526,O=[N+]([O-])C1=CC=C2C(=C1)/N=C(/C1=CC=CC(O)=C1)C1=C2C=CC([N+](=O)[O-])=C1
181,AN-153/I262625,CCOC(=O)N1CCN(C(=O)C2CCCN(/C3=C(\C4=CC=CC=C4)C4=C(C=CC(Cl)=C4)NC3=O)C2)CC1
182,AT-687/PE26004,COC1=CC=CC(C2=CSC3=C2N=C(N2CCCC(C(=O)NC4CCC(C)CC4)C2)NC3=O)=C1
