[2023-10-02 23:37:40,768::train::INFO] Namespace(config='./configs/train.yml', device='cuda', logdir='./logs')
[2023-10-02 23:37:40,768::train::INFO] {'model': {'vn': 'vn', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'encoder': {'name': 'cftfm', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'edge_channels': 64, 'key_channels': 128, 'num_heads': 4, 'num_interactions': 4, 'cutoff': 10.0, 'knn': 48}, 'field': {'name': 'classifier', 'num_filters': 128, 'num_filters_vec': 32, 'edge_channels': 64, 'num_heads': 4, 'cutoff': 10.0, 'knn': 32}, 'position': {'num_filters': 128, 'n_component': 3}}, 'train': {'save': True, 'seed': 2021, 'use_apex': False, 'batch_size': 6, 'num_workers': 8, 'pin_memory': True, 'resume_train': False, 'ckpt_name': 'None', 'start_epoch': 'None', 'max_iters': 500000, 'val_freq': 5000, 'pos_noise_std': 0.1, 'max_grad_norm': 100.0, 'optimizer': {'type': 'adam', 'lr': 0.0002, 'weight_decay': 0, 'beta1': 0.99, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 8, 'min_lr': 1e-05}, 'transform': {'mask': {'type': 'mixed', 'min_ratio': 0.0, 'max_ratio': 1.1, 'min_num_masked': 1, 'min_num_unmasked': 0, 'p_random': 0.15, 'p_bfs': 0.6, 'p_invbfs': 0.25}, 'contrastive': {'num_real': 20, 'num_fake': 20, 'pos_real_std': 0.05, 'pos_fake_std': 2.0}, 'edgesampler': {'k': 8}}}, 'dataset': {'index_path': './data/crossdocked_pocket10/index.pkl', 'processed_path': './data/crossdock_data/crossdock_data_gds.lmdb', 'name2id_path': './data/crossdock_data/crossdock_gdsname2id.pt', 'split': './data/split_by_name.pt'}}
[2023-10-03 17:42:48,480::train::INFO] Training Epoch 17 | Average_Loss 3.02868 | Loss 5.581095 | Loss(Fron) 0.046337 | Loss(Pos) 4.162043 | Loss(Cls) 0.973087 | Loss(Edge) 0.079810 | Loss(Real) 0.029261 | Loss(Fake) 0.208109 | Loss(Surf) 0.082448  
[2023-10-03 17:42:50,583::train::INFO] Evaluate Epoch 17 | Average_Loss 3.15665 | Single Batch Loss 2.044295 | Loss(Fron) 0.022725 | Loss(Pos) 1.310465 | Loss(Cls) 0.558043 | Loss(Edge) 0.020102 | Loss(Real) 0.022096 | Loss(Fake) 0.110865 | Loss(Surf) 0.000000  
[2023-10-03 18:40:57,950::train::INFO] Training Epoch 18 | Average_Loss 3.03019 | Loss 2.945271 | Loss(Fron) 0.134970 | Loss(Pos) 1.643604 | Loss(Cls) 0.989598 | Loss(Edge) 0.047452 | Loss(Real) 0.025889 | Loss(Fake) 0.103759 | Loss(Surf) 0.000000  
[2023-10-03 18:41:00,056::train::INFO] Evaluate Epoch 18 | Average_Loss 3.57019 | Single Batch Loss 3.273145 | Loss(Fron) 0.066878 | Loss(Pos) 2.240433 | Loss(Cls) 0.624864 | Loss(Edge) 0.032171 | Loss(Real) 0.079607 | Loss(Fake) 0.229192 | Loss(Surf) 0.000000  
[2023-10-03 19:39:07,276::train::INFO] Training Epoch 19 | Average_Loss 3.21405 | Loss 4.945240 | Loss(Fron) 0.056184 | Loss(Pos) 3.685206 | Loss(Cls) 0.719764 | Loss(Edge) 0.114917 | Loss(Real) 0.097730 | Loss(Fake) 0.167901 | Loss(Surf) 0.103539  
[2023-10-03 19:39:09,455::train::INFO] Evaluate Epoch 19 | Average_Loss 3.73654 | Single Batch Loss 3.071057 | Loss(Fron) 0.207489 | Loss(Pos) 1.687074 | Loss(Cls) 0.836698 | Loss(Edge) 0.100462 | Loss(Real) 0.147453 | Loss(Fake) 0.091882 | Loss(Surf) 0.000000  
[2023-10-03 20:37:16,583::train::INFO] Training Epoch 20 | Average_Loss 3.25811 | Loss 2.796188 | Loss(Fron) 0.009834 | Loss(Pos) 1.659641 | Loss(Cls) 0.773530 | Loss(Edge) 0.054008 | Loss(Real) 0.058276 | Loss(Fake) 0.240899 | Loss(Surf) 0.000000  
[2023-10-03 20:37:18,688::train::INFO] Evaluate Epoch 20 | Average_Loss 3.43110 | Single Batch Loss 3.287617 | Loss(Fron) 0.090672 | Loss(Pos) 1.870628 | Loss(Cls) 1.179474 | Loss(Edge) 0.028082 | Loss(Real) 0.044973 | Loss(Fake) 0.073789 | Loss(Surf) 0.000000  
[2023-10-03 21:35:27,543::train::INFO] Training Epoch 21 | Average_Loss 3.09264 | Loss 1.843526 | Loss(Fron) 0.049979 | Loss(Pos) 0.812441 | Loss(Cls) 0.820900 | Loss(Edge) 0.032940 | Loss(Real) 0.016390 | Loss(Fake) 0.110876 | Loss(Surf) 0.000000  
[2023-10-03 21:35:29,724::train::INFO] Evaluate Epoch 21 | Average_Loss 4.29043 | Single Batch Loss 4.698886 | Loss(Fron) 0.000310 | Loss(Pos) 2.711444 | Loss(Cls) 1.011588 | Loss(Edge) 0.232127 | Loss(Real) 0.473545 | Loss(Fake) 0.269871 | Loss(Surf) 0.000000  
